PL	PR	Delay
0	0	421.2935272
0	0.1	311.0118273
0	0.2	201.5262017
0	0.3	92.58823541
0	0.4	3.214287276
0	0.5	1.669331837
0	0.6	79.37402536
0	0.7	187.9064869
0	0.8	323.8058977
0	0.9	489.156509
0	1	682.2721984
0.1	0	277.5217327
0.1	0.1	213.031658
0.1	0.2	113.5690967
0.1	0.3	18.16758432
0.1	0.4	0.436553233
0.1	0.5	35.75259543
0.1	0.6	119.423179
0.1	0.7	224.2267253
0.1	0.8	353.5844659
0.1	0.9	506.5122186
0.1	1	682.3867147
0.2	0	155.9637484
0.2	0.1	113.6965315
0.2	0.2	26.96966542
0.2	0.3	0.614610347
0.2	0.4	13.23129526
0.2	0.5	79.19563854
0.2	0.6	162.4849573
0.2	0.7	266.4279195
0.2	0.8	386.9760115
0.2	0.9	524.443476
0.2	1	682.3842746
0.3	0	57.17643622
0.3	0.1	18.44252444
0.3	0.2	0.62007568
0.3	0.3	7.252034466
0.3	0.4	61.0173446
0.3	0.5	129.3368326
0.3	0.6	211.4261241
0.3	0.7	309.2236653
0.3	0.8	418.9777073
0.3	0.9	544.5718703
0.3	1	682.3411277
0.4	0	1.256326641
0.4	0.1	0.424900212
0.4	0.2	13.16532844
0.4	0.3	61.55074818
0.4	0.4	119.1844333
0.4	0.5	186.7959343
0.4	0.6	266.0993951
0.4	0.7	355.116985
0.4	0.8	453.0516266
0.4	0.9	562.8449221
0.4	1	682.3707978
0.5	0	1.626711997
0.5	0.1	37.14389603
0.5	0.2	79.02533996
0.5	0.3	129.0305673
0.5	0.4	186.4553917
0.5	0.5	251.5389398
0.5	0.6	324.0690532
0.5	0.7	402.6614391
0.5	0.8	488.4198291
0.5	0.9	582.3163661
0.5	1	682.4177255
0.6	0	78.78645713
0.6	0.1	119.6559081
0.6	0.2	164.0206898
0.6	0.3	211.489411
0.6	0.4	266.7977738
0.6	0.5	324.0557346
0.6	0.6	385.0709357
0.6	0.7	453.2188881
0.6	0.8	525.4919615
0.6	0.9	601.4805252
0.6	1	682.4140899
0.7	0	187.6511787
0.7	0.1	225.5001085
0.7	0.2	264.9668338
0.7	0.3	308.7104936
0.7	0.4	354.4631734
0.7	0.5	401.5572251
0.7	0.6	453.1939572
0.7	0.7	507.045049
0.7	0.8	562.3354271
0.7	0.9	621.1364945
0.7	1	682.4060009
0.8	0	323.7788364
0.8	0.1	354.7955708
0.8	0.2	387.2016955
0.8	0.3	418.9502271
0.8	0.4	453.121238
0.8	0.5	488.6112409
0.8	0.6	524.4044397
0.8	0.7	563.3925967
0.8	0.8	601.7906662
0.8	0.9	641.9553959
0.8	1	682.3679516
0.9	0	488.6021886
0.9	0.1	506.6975067
0.9	0.2	525.2920272
0.9	0.3	543.7231155
0.9	0.4	562.8577179
0.9	0.5	582.6496873
0.9	0.6	601.4953519
0.9	0.7	620.77686
0.9	0.8	640.7596141
0.9	0.9	661.6412306
0.9	1	682.3402706
1	0	682.439757


